PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
"Developmental Links Between Speech Perception in Noise, Singing, and Cortical Processing of Music in Children with Cochlear Implants",2018,Musicae Scientiae,"Torppa, Ritva",Finland,Finland,Finland,Finnish,43,NA,NA,23,20,,children,non-musicians,NA,NA,artificial,Western,experimenter-created,NA,Katie Vishwanath,ERP; MMN and P3a; informal singing and music instrument playing; perception of speech in noise; attention
Psychological and Musical Factors Underlying Engagement with Unfamiliar Music,2018,Musicae Scientiae,"Janata, Petr",USA,USA,USA,Asian; Caucasian; Hispanic; African American; Mixed; Other; Unknown,98,21.1,3.1,60,38,,undergraduate students,NA,course credit,NA,artificial; blues; contemporary rock; folk; funk; jazz; R&B; rock,Western,experimenter-created,NA,Katie Vishwanath,listening time; aesthetics; habituation; repetition; enjoyment; personality
Psychological and Musical Factors Underlying Engagement with Unfamiliar Music,2018,Musicae Scientiae,"Janata, Petr",USA,USA,USA,Asian; Caucasian; Hispanic; African American; Mixed; Other; Unknown,93,20.5,3.1,74,19,,undergraduate students,NA,course credit,NA,artificial; blues; contemporary rock; folk; funk; jazz; R&B; rock,Western,experimenter-created,NA,Katie Vishwanath,listening time; aesthetics; habituation; repetition; enjoyment; personality
Psychological and Musical Factors Underlying Engagement with Unfamiliar Music,2018,Musicae Scientiae,"Janata, Petr",USA,USA,USA,Asian; Caucasian; Hispanic; African American; Mixed; Other; Unknown,283,20.5,2.7,204,79,,undergraduate students,NA,course credit,NA,artificial; blues; contemporary rock; folk; funk; jazz; R&B; rock,Western,experimenter-created; precomposed,NA,Katie Vishwanath,listening time; aesthetics; habituation; repetition; enjoyment; personality
Expressiveness in Music From a Multimodal Perspective,2018,Musicae Scientiae,"Teixeira, Euler C.F.",Brazil,Brazil,Brazil,NA,10,NA,NA,NA,NA,,NA,musicians,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,music performance; movement recurrence; musical expressiveness; multimodal analysis; clarinet players
Challenges and Opportunities of Predicting Musical Emotions with Perceptual and Automatized Features,2018,Musicae Scientiae,"Lange, Elke B.",Germany,Germany,Germany,NA,20,NA,NA,6,12; 2 did not identify,,sound engineers,NA,NA,NA,classical; blues; country; electronica; folk; hip hop; jazz; metal; pop; reggae; rock; soul; traditional; world,Western; Traditional; World,precomposed,NA,Katie Vishwanath,music information retrieval (MIR); feature extraction; emotion expression; expert ratings; predictive modeling
Tonality Without Structure: Using Drones to Induce Modes and Convey Moods,2018,Musicae Scientiae,"Bostwick, Jeffrey",USA,USA,USA,NA,32,NA,NA,NA,NA,,university students,NA,course credit,NA,artificial,Western,experimenter-created,NA,Katie Vishwanath,mode; mood; tonality; drone; emotion
Activity Analysis and Coordination in Continuous Responses to Music,2018,Musicae Scientiae,"Upham, Finn",Canada; USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,continuous response to music; statistics; time series analysis; agreement; response coordination
A Perceptual Study of Scale-degree Qualia in Context,2018,Musicae Scientiae,"Arthur, Claire",USA,USA,USA,,,,,,,,,,,,,,,NA,Katie Vishwanath,scale degree; phenomenology; key profiles; melodic-harmonic interaction; pitch perception
Listener Expertise Enhances Intelligibility of Vocalizations in Death Metal Music,2018,Musicae Scientiae,"Olsen, Kirk N.",Australia,Australia,Australia,NA,64,23.5,6.43,26,38,,first-year psychology students; music college students; social media recruits,musicians and non-musicians,NA,>/= 5 (musicians); </= 5 (non-musicians),death metal,Western,precomposed,NA,Katie Vishwanath,"auditory perception, emotion, expertise, lyrics, perceptual learning"
The Lone Instrument: Musical Solos and Sadness-Related Features,2018,Musicae Scientiae,"Hansen, Niels Chr.",USA,USA,NA,NA,330,NA,NA,NA,NA,,orchestral excerpts,NA,NA,NA,classical,Western,precomposed,This paper selected and coded orchestral excerpts based on various sadness-related acoustical features and their solo/non-solo statuses,Katie Vishwanath,emotion; musical analysis; instrumental music; cognitive musicology; corpus
Are Musical Autobiographical Memories Special? It Ain’t Necessarily So,2018,Musicae Scientiae,"Halpern, Andrea R.",USA,USA,USA,NA,41,NA,NA,30,"10; 1 ""undisclosed""",,undergraduate students,NA,NA,NA,NA,NA,NA,NA,Katie Vishwanath,autobiographical memory; music; emotion; experimental control; flashbulb memory
Are Musical Autobiographical Memories Special? It Ain’t Necessarily So,2018,Musicae Scientiae,"Halpern, Andrea R.",USA,USA,USA,NA,48,NA,NA,18 (Holidays); 15 (Dining),7 (Holidays); 8 (Dining),,undergraduate students,NA,NA,NA,NA,NA,NA,NA,Katie Vishwanath,autobiographical memory; music; emotion; experimental control; flashbulb memory
Repetition Enhances the Musicality of Speech and Tone Stimuli to Similar Degrees,2018,Musicae Scientiae,"Tierney, Adam",UK,UK,UK,NA,64,29.6 (Group 1); 31.2 (Group 2),7.1 (Group 1); 7.9 (Group 2),24 (Group 1); 23 (Group 2),8 (Group 1); 9 (Group 2),,university students,musicians and non-musicians,course credit; paid,2.7 (Group 1); 3.8 (Group 2),speech; artificial,Western,experimenter-created,NA,Katie Vishwanath,speech; singing; pitch; perception; language
Early Childhood Music Training and Associated Improvements in Music and Language Abilities,2018,Musicae Scientiae,"Hutchins, Sean",Canada,Canada,Canada,NA,90,4.55 (pre-session); 5.13 (post-session),NA,41,49,,young children,budding musicians,discount on program enrollment,NA,the alphabet song,Western,precomposed,This paper had many speech/language/vocabulary tests and only one singing test,Katie Vishwanath,music training; language; transfer; vocabulary; phonological processing
The Online Processing of Implied Harmony in the Perception of Tonal Melodies: Effects of Harmonic Expectations,2018,Musicae Scientiae,"Kim, Jung Nyo",USA,USA,USA,NA,18,19.6,2.2,NA,NA,,university students,musicians,paid,9.7 (instrumental/vocal); 2.4 (music theory training),classical; artifical,Western,experimenter-created,NA,Katie Vishwanath,harmony; melody; online processing; expectations; reaction times
Did You Hear the Vocalist? Differences in Processing Between Short Segments of Familiar and Unfamiliar Music,2018,Musicae Scientiae,"Layman, Shannon L.",USA,USA,USA,NA,100,21.14,NA,57,43,,undergraduate students,musicians and non-musicians,NA,3.92,popular,Western,precomposed,NA,Katie Vishwanath,popular music; music memory; familiarity; featural processing; cognition
Did You Hear the Vocalist? Differences in Processing Between Short Segments of Familiar and Unfamiliar Music,2018,Musicae Scientiae,"Layman, Shannon L.",USA,USA,USA,NA,60,25.1,NA,39,21,,undergraduate students,musicians and non-musicians,NA,3.92,popular,Western,precomposed,NA,Katie Vishwanath,popular music; music memory; familiarity; featural processing; cognition
How Music Moves Us: Entraining to Musicians’ Movements,2018,Musicae Scientiae,"Demos, Alexander P.",USA,USA,USA,NA,29,19.04,0.73,20,9,,undergraduate and graduate students,"musicians, non-musicians, and dancers",course credit (undergraduates),8.56 (musicians); 0.79 (non-musicians); 10.17 (dancers),classical,Western,precomposed,NA,Katie Vishwanath,synchronization; entrainment; postural sway; music performance; music listening
How Music Moves Us: Entraining to Musicians’ Movements,2018,Musicae Scientiae,"Demos, Alexander P.",USA,USA,USA,NA,29,19.04,0.73,20,9,,undergraduate and graduate students,"musicians, non-musicians, and dancers",course credit (undergraduates),8.56 (musicians); 0.79 (non-musicians); 10.17 (dancers),classical,Western,precomposed,NA,Katie Vishwanath,synchronization; entrainment; postural sway; music performance; music listening
Time Dilation Caused by Oddball Serial Position and Pitch Deviancy: A Comparison of Musicians and Nonmusicians,2018,Musicae Scientiae,"Nazari, Mohammad Ali",Iran,Iran,Iran,Iranian(?),32,24.7 (non-musicians); 26.6 (musicians),2.9 (non-musicians); 3.3 (musicians),7 (non-musicians); 9 (musicians),9 (non-musicians); 7 (musicians),,graduate students and professional musicians,musicians and non-musicians,course credit (graduate students),14.4 (musicians),artificial,Western,experimenter-created,NA,Katie Vishwanath,auditory perception; time dilation; oddball position; oddball deviancy; musicians
Time Dilation Caused by Oddball Serial Position and Pitch Deviancy: A Comparison of Musicians and Nonmusicians,2018,Musicae Scientiae,"Nazari, Mohammad Ali",Iran,Iran,Iran,Iranian(?),32,25.2 (non-musicians); 26.8 (musicians),3.1 (non-musicians); 3.3 (musicians),6 (non-musicians); 7 (musicians),10 (non-musicians); 9 (musicians),,graduate students and professional musicians,musicians and non-musicians,course credit (graduate students),13.8 (musicians),artificial,Western,experimenter-created,NA,Katie Vishwanath,auditory perception; time dilation; oddball position; oddball deviancy; musicians
Performers’ Motions Reflect the Intention to Express Short or Long Melodic Groupings,2018,Musicae Scientiae,"Huberth, Madeline",USA,USA,USA,NA,12,NA,NA,6,6,,university students/graduates,musicians,paid,14.7,classical,Western,precomposed,NA,Katie Vishwanath,movement; performance; interpretation; embodied cognition; melodic grouping
Musical Activity and Well-being: A New Quantitative Measurement Instrument,2018,Musicae Scientiae,"Krause, Amanda E.",Australia,Australia,Australia,NA,207,32.95,13.4,138,69,,"professional musicians, amateur musicians, music therapists, and music teachers",musicians,volunteered,NA,NA,NA,experimenter-created,This was a questionnaire creation study.,Katie Vishwanath,well-being; music-making; qualitative metaanalysis; music; participation
A Psychocultural Theory of Musical Interval: Bye Bye Pythagoras,2018,Musicae Scientiae,"Parncutt, Richard",Austria,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"This was a literature review and discussion as to why ratio theory is inconsistent with a modern evidence-based understanding of musical structure, perception, and cognition.",Katie Vishwanath,Pythagoras; interval; ratio; intonation; pitch
Psychophysiological Responses to “Happy” and “Sad” Music: A Replication Study,2018,Musicae Scientiae,"Bullack, Antje",Germany,Germany,Germany,NA,20,25.8 (female); 29.7 (male),3.19 (female); 3.56 (male),10,10,,NA,NA,NA,NA,NA,Western,experimenter-created,Pilot,Katie Vishwanath,music listening; psychophysiology; autonomic activity; emotions; replication study
Psychophysiological Responses to “Happy” and “Sad” Music: A Replication Study,2018,Musicae Scientiae,"Bullack, Antje",Germany,Germany,Germany,NA,32,26.25 (female); 26.31 (male),2.17 (female); 3.57 (male),16,16,,NA,NA,NA,NA,NA,Western,experimenter-created,Full Study,Katie Vishwanath,music listening; psychophysiology; autonomic activity; emotions; replication study
Average Pitch Height and Perceived Emotional Expression Within an Unconventional Tuning System,2018,Musicae Scientiae,"Friedman, Ronald S.",USA,USA,USA,NA,114,19.93,2.19,90,24,,undergraduate students,musicians and non-musicians,course credit,3.35,NA,Western,experimenter-created,NA,Katie Vishwanath,emotion; music; pitch height; interval size; Bohlen-Pierce scale
Distortion and Western Music Chord Processing: An ERP Study of Musicians and Nonmusicians,2018,Musicae Scientiae,"Virtala, Paula",Finland,Finland,Finland,Finnish(?),26,23 (musicians); 24 (non-musicians),NA,6 (musicians); 7 (non-musicians),7 (musicians); 6 (non-musicians),,university and music academy students,musicians and non-musicians,volunteered,NA,NA,Western,experimenter-created,NA,Katie Vishwanath,chord; musicians; distortion; harmony; cortical auditory processing
"Embodied Listening and Timbre: Perceptual, Acoustical, and Neural Correlates",2018,Musicae Scientiae,"Wallmark, Zachary",USA,USA,USA,NA,36,20.3,2.07,22,14,,UCLA community (university students),musicians and non-musicians (non-music majors),paid,6.83,artificial; instrumentals; international,Western and Eastern,experimenter-created; precomposed,NA,Katie Vishwanath,timbre perception; embodied cognition; fMRI; musical affect; noise
"Embodied Listening and Timbre: Perceptual, Acoustical, and Neural Correlates",2018,Musicae Scientiae,"Wallmark, Zachary",USA,USA,USA,NA,36,20.3,2.07,22,14,,UCLA community (university students),musicians and non-musicians (non-music majors),paid,6.83,popular music,Western,precomposed,NA,Katie Vishwanath,timbre perception; embodied cognition; fMRI; musical affect; noise
"Embodied Listening and Timbre: Perceptual, Acoustical, and Neural Correlates",2018,Musicae Scientiae,"Wallmark, Zachary",USA,USA,USA,"East Asian, South Asian, Black, White",15,19.1,0.72,8,7,,UCLA community (university students),musicians and non-musicians (non-music majors),paid,NA,artificial; instrumentals; international,Western and Eastern,experimenter-created; precomposed,NA,Katie Vishwanath,timbre perception; embodied cognition; fMRI; musical affect; noise
The Relative Importance of Aural and Visual Information in the Evaluation of Western Canon Music Performance by Musicians and Nonmusicians,2018,Musicae Scientiae,"Griffiths, Noola K.",UK,UK,UK,NA,60,26.4 (musicians); 44.0 (non-musicians),7.04 (musicians); 4.48 (non-musicians),26 (musicians); 20 (non-musicians),8 (musicians); 6 (non-musicians),,university students and staff,musicians and non-musicians,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,aural information; visual information; multimodality; evaluation; performance
"MUSEBAQ: A Modular Tool for Music Research to Assess Musicianship, Musical Capacity, Music Preferences, and Motivations for Music Use",2018,Musicae Scientiae,"Chin, Tan-Chyuan",Australia,NA,NA,NA,524,24.4,6.6,393,131,,undergraduate students,NA,NA,3.38 (formal music theory training); 4.36 (formal practical music training),classical,NA,NA,Questionnaire creation study,Katie Vishwanath,music engagement; musicianship; musical capacity; music preferences; motivations for music use
"MUSEBAQ: A Modular Tool for Music Research to Assess Musicianship, Musical Capacity, Music Preferences, and Motivations for Music Use",2018,Musicae Scientiae,"Chin, Tan-Chyuan",Australia,NA,NA,NA,296,32,14.6,119,174 (male); 3 (unknown),,undergraduate students,NA,NA,NA,classical,NA,NA,testing the questionnaire created in previous study,Katie Vishwanath,music engagement; musicianship; musical capacity; music preferences; motivations for music use
"MUSEBAQ: A Modular Tool for Music Research to Assess Musicianship, Musical Capacity, Music Preferences, and Motivations for Music Use",2018,Musicae Scientiae,"Chin, Tan-Chyuan",Australia,NA,NA,NA,304,35.19,9.62,148,155,,Amazon Mechanical Turk recruited participants,NA,NA,3.56,classical,NA,NA,validation of questionnaire created in previous study,Katie Vishwanath,music engagement; musicianship; musical capacity; music preferences; motivations for music use
Mitigating death anxiety: Identifying music’s role in terror management,2018,Musicae Scientiae,"Cardany, Audrey B.",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Literature review,Katie Vishwanath,Ernest Becker; death; functions of music; music and death anxiety; music education; Terror Management Theory
Music Performance Anxiety in adolescence and early adulthood: Its relation with the age of onset in musical training,2018,Musicae Scientiae,"Zarza-Alzugaray, Francisco Javier",Spain,Spain,Spain,NA,437 (sample 1); 209 (sample 2),22.64 (sample 1); 12.09 (sample 2),4.73 (sample 1); 4.22 (sample 2),200 (sample 1); 124 (sample 2),237 (sample 1); 85 (sample 2),,university/conservatory/music school students,musicians,NA,13.86 (sample 1); 4.80 (sample 2),NA,NA,NA,Music Performance Anxiety questionnaire study,Katie Vishwanath,age of musical training onset; music conservatory; Music Performance Anxiety; music school; music students
